"0","14"
"1","8"
"2","1"
"3","11"
"4","2"
"5","20"
"6","8"
"7","10"
"8","6"
"9","14"
"10","6"
"11","15"
"12","10"
"13","17"
"14","1"
"15","9"
"16","6"
"17","4"
"18","7"
"19","20"
"20","1"
"21","13"
"22","14"
"23","16"
"24","2"
"25","15"
"26","11"
"27","9"
"28","16"
"29","17"
"30","3"
"31","3"
"32","5"
"33","18"
"34","8"
"35","15"
"36","15"
"37","5"
"38","3"
"39","13"
"40","8"
"41","1"
"42","17"
"43","18"
"44","20"
"45","5"
"46","16"
"47","5"
"48","5"
"49","11"
"50","8"
"51","13"
"52","19"
"53","8"
"54","3"
"55","6"
"56","14"
"57","12"
"58","14"
"59","5"
"60","17"
"61","3"
"62","10"
"63","8"
"64","17"
"65","19"
"66","20"
"67","15"
"68","19"
"69","14"
"70","9"
"71","16"
"72","3"
"73","13"
"74","18"
"75","4"
"76","14"
"77","15"
"78","12"
"79","6"
"80","15"
"81","3"
"82","19"
"83","16"
"84","6"
"85","17"
"86","13"
"87","2"
"88","13"
"89","3"
"90","10"
"91","15"
"92","9"
"93","9"
"94","15"
"95","6"
"96","13"
"97","4"
"98","12"
"99","17"
