"0","15"
"1","11"
"2","5"
"3","13"
"4","19"
"5","17"
"6","10"
"7","7"
"8","6"
"9","3"
"10","5"
"11","9"
"12","9"
"13","12"
"14","20"
"15","6"
"16","5"
"17","5"
"18","1"
"19","5"
"20","3"
"21","19"
"22","12"
"23","11"
"24","7"
"25","9"
"26","18"
"27","18"
"28","1"
"29","6"
"30","3"
"31","4"
"32","7"
"33","20"
"34","20"
"35","11"
"36","1"
"37","11"
"38","1"
"39","18"
"40","6"
"41","17"
"42","5"
"43","2"
"44","4"
"45","6"
"46","13"
"47","12"
"48","4"
"49","1"
"50","13"
"51","10"
"52","4"
"53","1"
"54","3"
"55","9"
"56","5"
"57","10"
"58","6"
"59","17"
"60","9"
"61","8"
"62","18"
"63","17"
"64","14"
"65","19"
"66","11"
"67","7"
"68","13"
"69","14"
"70","4"
"71","16"
"72","19"
"73","9"
"74","7"
"75","1"
"76","6"
"77","17"
"78","7"
"79","1"
"80","19"
"81","7"
"82","5"
"83","7"
"84","16"
"85","18"
"86","3"
"87","12"
"88","17"
"89","19"
"90","2"
"91","18"
"92","17"
"93","14"
"94","16"
"95","16"
"96","7"
"97","18"
"98","16"
"99","6"
