"0","20"
"1","15"
"2","11"
"3","15"
"4","13"
"5","18"
"6","8"
"7","8"
"8","9"
"9","6"
"10","15"
"11","17"
"12","1"
"13","17"
"14","11"
"15","20"
"16","16"
"17","20"
"18","4"
"19","10"
"20","16"
"21","17"
"22","2"
"23","5"
"24","10"
"25","17"
"26","6"
"27","5"
"28","1"
"29","6"
"30","12"
"31","2"
"32","15"
"33","17"
"34","15"
"35","12"
"36","18"
"37","11"
"38","20"
"39","8"
"40","11"
"41","9"
"42","1"
"43","3"
"44","14"
"45","2"
"46","20"
"47","18"
"48","5"
"49","4"
"50","1"
"51","4"
"52","11"
"53","12"
"54","6"
"55","12"
"56","5"
"57","20"
"58","2"
"59","18"
"60","4"
"61","15"
"62","1"
"63","13"
"64","3"
"65","12"
"66","1"
"67","17"
"68","19"
"69","7"
"70","8"
"71","10"
"72","8"
"73","18"
"74","6"
"75","13"
"76","12"
"77","7"
"78","10"
"79","10"
"80","8"
"81","19"
"82","2"
"83","16"
"84","19"
"85","7"
"86","10"
"87","6"
"88","2"
"89","3"
"90","3"
"91","7"
"92","18"
"93","10"
"94","9"
"95","8"
"96","14"
"97","12"
"98","14"
"99","13"
