"0","3"
"1","19"
"2","12"
"3","16"
"4","6"
"5","16"
"6","3"
"7","13"
"8","8"
"9","15"
"10","17"
"11","7"
"12","15"
"13","5"
"14","15"
"15","18"
"16","4"
"17","8"
"18","12"
"19","4"
"20","4"
"21","15"
"22","7"
"23","6"
"24","19"
"25","12"
"26","12"
"27","9"
"28","2"
"29","7"
"30","9"
"31","6"
"32","6"
"33","10"
"34","5"
"35","17"
"36","18"
"37","3"
"38","0"
"39","5"
"40","13"
"41","12"
"42","18"
"43","16"
"44","6"
"45","18"
"46","7"
"47","7"
"48","15"
"49","1"
"50","4"
"51","15"
"52","14"
"53","13"
"54","8"
"55","11"
"56","20"
"57","10"
"58","15"
"59","17"
"60","11"
"61","19"
"62","11"
"63","18"
"64","18"
"65","19"
"66","18"
"67","8"
"68","13"
"69","16"
"70","14"
"71","11"
"72","14"
"73","17"
"74","19"
"75","17"
"76","20"
"77","1"
"78","18"
"79","19"
"80","20"
"81","4"
"82","20"
"83","16"
"84","17"
"85","11"
"86","12"
"87","1"
"88","9"
"89","20"
"90","6"
"91","0"
"92","1"
"93","15"
"94","12"
"95","7"
"96","11"
"97","7"
"98","5"
"99","3"
